Course,Topic,Unit,What to Cover,Unit Type,PPT,Code Files,Embedded links,Code File,S3 Links,Final Status,Given for Loading,Beta Status,Gamma Status,Review / Updation,Prod Status,Unit Link,s-id,t-id
Foundations of Computer Vision with CNNs,Building CNNs from Scratch,Building Your First CNN: Training & Evaluation,"Wrapping layers into a clean CNN class
Parameter count and forward pass verification
Train/val split, loss, optimizer, scheduler
Training loop with live metrics
Loss/accuracy curves
Test accuracy, confusion matrix, and predictions grid
",Session,Building Your First CNN: Training & Evaluation,Building Your First CNN: Training & Evaluation.ipynb,https://docs.google.com/presentation/d/e/2PACX-1vQ3neBa_WLM3FcHrYHxiqTNQFfMWEntkUll47l0DmdTG-zkl34teZjzSOfLqM-HB8dbAT0RAtfI-mxE/pubembed?start=false&loop=false&delayms=3000,,https://media-content.ccbp.in/ccbp_prod/media/video_content/dsml/computer_vision/english/06-05-2026-buildingYourFirstCNNTrainingAndEvaluation-English-V1/video__extension__,PPT and Code file completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=94036b2b-1484-48c7-8f2a-d7b84e995c02&t_id=d5d70a37-b5ec-4709-a8b9-2060ba3662c3,94036b2b-1484-48c7-8f2a-d7b84e995c02,d5d70a37-b5ec-4709-a8b9-2060ba3662c3
Foundations of Computer Vision with CNNs,Building CNNs from Scratch,Building Your First CNN: Training & Evaluation,,Tutorial,Building Your First CNN: Training & Evaluation Building Your First CNN: Training & Evaluation Tutorial MCQ-Building CNN Training Evaluation.zip,,,,,Tutorial/Reading Material Completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=d351eeb0-8eed-401d-99f7-61a639753f5e&t_id=d5d70a37-b5ec-4709-a8b9-2060ba3662c3,d351eeb0-8eed-401d-99f7-61a639753f5e,d5d70a37-b5ec-4709-a8b9-2060ba3662c3
Foundations of Computer Vision with CNNs,Building CNNs from Scratch,Building Your First CNN: Training & Evaluation,,MCQ Practice,Building Your First CNN: Training & Evaluation MCQs_Practice-11 (Building CNN Training Evaluation).zip,,,,,MCQ completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=d2790cb2-a89b-4c16-a801-1d04344f648e&t_id=d5d70a37-b5ec-4709-a8b9-2060ba3662c3,d2790cb2-a89b-4c16-a801-1d04344f648e,d5d70a37-b5ec-4709-a8b9-2060ba3662c3
Foundations of Computer Vision with CNNs,Building CNNs from Scratch,Building Your First CNN: Training & Evaluation,Coding Assignment,Coding Assignment,Code Assignment 3,,,,,Coding assignment completed,Yes,Done,Done,,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=95e19490-3e11-4a87-a2a1-b1c294f03240&t_id=d5d70a37-b5ec-4709-a8b9-2060ba3662c3,95e19490-3e11-4a87-a2a1-b1c294f03240,d5d70a37-b5ec-4709-a8b9-2060ba3662c3
Foundations of Computer Vision with CNNs,Building CNNs from Scratch,Building Your First CNN: Training & Evaluation,,Exam,,,,,,,Yes,Done,Done,,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=fc73b5c0-40b3-4cd0-871d-e2c8d6f2f07b&t_id=d5d70a37-b5ec-4709-a8b9-2060ba3662c3,fc73b5c0-40b3-4cd0-871d-e2c8d6f2f07b,d5d70a37-b5ec-4709-a8b9-2060ba3662c4
Foundations of Computer Vision with CNNs,CNN Architectures Evolution,LeNet-5 ,"Historical context (1998, Yann LeCun)
LeNet-5 architecture breakdown
Design decisions and their rationale
From LeNet to modern CNNs",Session,LeNet-5 ,,https://docs.google.com/presentation/d/e/2PACX-1vQwSjkArqYWO-zYj-xcoy-I5tFk6Y8np4qrOwvTTWvdP5ZhPRkiMBus8lfCmlUC0J8KLavSHRJQXPTk/pubembed?start=false&loop=false&delayms=3000,,https://media-content.ccbp.in/ccbp_prod/media/video_content/dsml/computer_vision/english/11-05-2026-leNet5-English-V1/video__extension__,PPT Completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=463430d9-141b-4ffd-aa55-a488ad305c63&t_id=427d5f97-7438-4c8c-8701-f5a9b96e2c71,463430d9-141b-4ffd-aa55-a488ad305c63,427d5f97-7438-4c8c-8701-f5a9b96e2c71
Foundations of Computer Vision with CNNs,CNN Architectures Evolution,LeNet-5 ,,Tutorial,LeNET 5 LeNET-5 Tutorial MCQ-LeNET 5.zip,,,,,Tutorial/Reading Material Completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=52df5255-c700-4b58-80fd-f431042a8bc4&t_id=427d5f97-7438-4c8c-8701-f5a9b96e2c71,52df5255-c700-4b58-80fd-f431042a8bc4,427d5f97-7438-4c8c-8701-f5a9b96e2c71
Foundations of Computer Vision with CNNs,CNN Architectures Evolution,LeNet-5 ,,MCQ Practice,LeNet-5  MCQs_Practice-12 (LeNet-5).zip,,,,,MCQ completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=3b502b02-cedc-4292-810f-1a2b05c84cf2&t_id=427d5f97-7438-4c8c-8701-f5a9b96e2c71,3b502b02-cedc-4292-810f-1a2b05c84cf2,427d5f97-7438-4c8c-8701-f5a9b96e2c71
Foundations of Computer Vision with CNNs,CNN Architectures Evolution,LeNet-5 Implementation,"Hands-on: Implement LeNet-5 
Compare with modern equivalent on MNIST",Session,LeNet5 Implementation,LeNet5 Implementation.ipynb,https://docs.google.com/presentation/d/e/2PACX-1vQZ9Ho5HIdfQytlb9VtsCDyT7RocCUZf7fGmrNJ4ZGrHsWwbG0eZw_TFs-B3ztELeVQL58tUtExI8kx/pubembed?start=false&loop=false&delayms=3000,,https://media-content.ccbp.in/ccbp_prod/media/video_content/dsml/computer_vision/english/11-05-2026-leNet5Implementation-English-V1/video__extension__,PPT and Code file completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=8e33c69e-2300-4803-9e42-734546fc7c65&t_id=427d5f97-7438-4c8c-8701-f5a9b96e2c71,8e33c69e-2300-4803-9e42-734546fc7c65,427d5f97-7438-4c8c-8701-f5a9b96e2c71
Foundations of Computer Vision with CNNs,CNN Architectures Evolution,LeNet-5 Implementation,,Tutorial,LeNET-5 Implementation Tutorial MCQ-LeNET 5 Implementation.zip LeNET 5 Implementation,,,,,Tutorial/Reading Material Completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=35e95230-e47d-4ebf-853f-a88786c98410&t_id=427d5f97-7438-4c8c-8701-f5a9b96e2c71,35e95230-e47d-4ebf-853f-a88786c98410,427d5f97-7438-4c8c-8701-f5a9b96e2c71
Foundations of Computer Vision with CNNs,CNN Architectures Evolution,LeNet-5 Implementation,,MCQ Practice,LeNet-5  Implementation MCQs_Practice-13 (LeNet-5 Implementation).zip,,,,,MCQ completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=862b17ce-f803-44d0-bf46-5221be093471&t_id=427d5f97-7438-4c8c-8701-f5a9b96e2c71,862b17ce-f803-44d0-bf46-5221be093471,427d5f97-7438-4c8c-8701-f5a9b96e2c71
Foundations of Computer Vision with CNNs,CNN Architectures Evolution,AlexNet,"ImageNet challenge and its impact
AlexNet architecture (2012)
Key innovations: ReLU, Dropout, GPU training, LRN
Data augmentation strategies used
Why AlexNet changed everything",Session,AlexNet,,https://docs.google.com/presentation/d/e/2PACX-1vSwC303-NVvwe5HH_29mXoxoCnREvrzpbklNKdnboJdQHmaQRQpGmgt-5cXTNMjjvYDRsOqaAGiVfea/pubembed?start=false&loop=false&delayms=3000,,https://media-content.ccbp.in/ccbp_prod/media/video_content/dsml/computer_vision/english/22-05-2026-alexNet-English-V1/video__extension__,PPT Completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=6e616c21-b669-44b3-b0c4-c43f6f4bdccd&t_id=427d5f97-7438-4c8c-8701-f5a9b96e2c71,6e616c21-b669-44b3-b0c4-c43f6f4bdccd,427d5f97-7438-4c8c-8701-f5a9b96e2c71
Foundations of Computer Vision with CNNs,CNN Architectures Evolution,AlexNet,,Tutorial,AlexNET AlexNET,,,,,Tutorial/Reading Material Completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=78543b97-29ab-47f9-aeb3-2dc1da75d449&t_id=427d5f97-7438-4c8c-8701-f5a9b96e2c71,78543b97-29ab-47f9-aeb3-2dc1da75d449,427d5f97-7438-4c8c-8701-f5a9b96e2c71
Foundations of Computer Vision with CNNs,CNN Architectures Evolution,AlexNet,,MCQ Practice,AlexNET MCQs_Practice-14 (AlexNET).zip Tutorial MCQ-AlexNET.zip,,,,,MCQ completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=587d4c3d-8a4c-4ea9-ad11-f5f0869da2f4&t_id=427d5f97-7438-4c8c-8701-f5a9b96e2c71,587d4c3d-8a4c-4ea9-ad11-f5f0869da2f4,427d5f97-7438-4c8c-8701-f5a9b96e2c71
Foundations of Computer Vision with CNNs,CNN Architectures Evolution,AlexNet Implementation,Hands-on: Implement AlexNet architecture,Session,AlexNet Implementation,AlexNet Implementation.ipynb,https://docs.google.com/presentation/d/e/2PACX-1vSpVEgdL7vM1oEfZjy6pvoL7tq9qPq0eKyYYgpf_5wlTuIbYTZdNsCVZJ20PMze8Z_JU-e3Irs_wpRO/pubembed?start=false&loop=false&delayms=3000,,https://media-content.ccbp.in/ccbp_prod/media/video_content/dsml/computer_vision/english/22-05-2026-alexNetImplementation-English-V1/video__extension__,PPT and Code file completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=f12dcdae-020d-4c95-bfd9-f510011b3f7b&t_id=427d5f97-7438-4c8c-8701-f5a9b96e2c71,f12dcdae-020d-4c95-bfd9-f510011b3f7b,427d5f97-7438-4c8c-8701-f5a9b96e2c71
Foundations of Computer Vision with CNNs,CNN Architectures Evolution,AlexNet Implementation,,Tutorial,AlexNET Implementation AlexNET Implementation Tutorial MCQ-AlexNET Implementation.zip,,,,,Tutorial/Reading Material Completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=1c8f603a-9a66-44fa-a39f-546d84e99a46&t_id=427d5f97-7438-4c8c-8701-f5a9b96e2c71,1c8f603a-9a66-44fa-a39f-546d84e99a46,427d5f97-7438-4c8c-8701-f5a9b96e2c71
Foundations of Computer Vision with CNNs,CNN Architectures Evolution,AlexNet Implementation,,MCQ Practice,MCQ-AlexNET Implementation MCQs_Practice-15 (AlexNET Implementation).zip,,,,,MCQ completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=9528b977-dee9-414c-b47c-7fc95fda6d7e&t_id=427d5f97-7438-4c8c-8701-f5a9b96e2c71,9528b977-dee9-414c-b47c-7fc95fda6d7e,427d5f97-7438-4c8c-8701-f5a9b96e2c71
Foundations of Computer Vision with CNNs,CNN Architectures Evolution,VGGNet,"VGG philosophy: simplicity and depth
VGG-16 and VGG-19 architectures
3x3 convolution stacking insight
Computational cost analysis
VGG as feature extractor",Session,VGGNet,,https://docs.google.com/presentation/d/e/2PACX-1vRn3IKrY-8yV08VHlCbIxnUZN18eMFgmrS09XeccK8p3uAL9gsP1rIyNiownSgFliI4mPz_sl_3exSq/pubembed?start=false&loop=false&delayms=3000,,https://media-content.ccbp.in/ccbp_prod/media/video_content/dsml/computer_vision/english/22-05-2026-vggNet-English-V1/video__extension__,PPT Completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=b152c364-30c6-458c-8696-9862c7f96dfd&t_id=427d5f97-7438-4c8c-8701-f5a9b96e2c71,b152c364-30c6-458c-8696-9862c7f96dfd,427d5f97-7438-4c8c-8701-f5a9b96e2c71
Foundations of Computer Vision with CNNs,CNN Architectures Evolution,VGGNet Implementation,Hands-on: Implement VGG-16 and analyze layer outputs,Session,VGGNet Implementation,VGGNet Implementation.ipynb,https://docs.google.com/presentation/d/e/2PACX-1vRWS3suN6BS23u951Pb6DE5vSxfQgxBdL8VBWoMvq1cZARZxUgWyzlBvISBeDSUue0Q1Gqg_uai0w9t/pubembed?start=false&loop=false&delayms=3000,,https://media-content.ccbp.in/ccbp_prod/media/video_content/dsml/computer_vision/english/22-05-2026-vggNetImplementation-English-V1/video__extension__,PPT and Code file completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=fb300272-e097-4c15-bd84-26203378bb7d&t_id=427d5f97-7438-4c8c-8701-f5a9b96e2c71,fb300272-e097-4c15-bd84-26203378bb7d,427d5f97-7438-4c8c-8701-f5a9b96e2c71
Foundations of Computer Vision with CNNs,CNN Architectures Evolution,VGGNet,,Tutorial,VGGNet VGGNet Tutorial MCQ-VGGNet.zip,,,,,Tutorial/Reading Material Completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=2534e6a7-d3fd-4ea1-95af-5d5d16313c5f&t_id=427d5f97-7438-4c8c-8701-f5a9b96e2c71,2534e6a7-d3fd-4ea1-95af-5d5d16313c5f,427d5f97-7438-4c8c-8701-f5a9b96e2c71
Foundations of Computer Vision with CNNs,CNN Architectures Evolution,VGGNet,,MCQ Practice,MCQs_Practice-16 (VGGNet).zip VGGNet,,,,,MCQ completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=0669bfec-6860-404f-9429-d45a1b5fcb86&t_id=427d5f97-7438-4c8c-8701-f5a9b96e2c71,0669bfec-6860-404f-9429-d45a1b5fcb86,427d5f97-7438-4c8c-8701-f5a9b96e2c71
Foundations of Computer Vision with CNNs,CNN Architectures Evolution,Inception & GoogLeNet,"Multi-scale processing motivation
Inception module design
1x1 convolutions for dimensionality reduction
GoogLeNet/Inception v1 architecture
Auxiliary classifiers
Inception v2, v3, v4 improvements",Session,Inception & GoogLeNet,,https://docs.google.com/presentation/d/e/2PACX-1vRygT7v0ires-bBAJ51JhMkGLTdtF1MnvoeC7K2901oTu-hAaGOorz49aVUL3XtSaDorAQx87FYvW2c/pubembed?start=false&loop=false&delayms=3000,,https://media-content.ccbp.in/ccbp_prod/media/video_content/dsml/computer_vision/english/22-05-2026-inceptionandGoogLeNet-English-V1/video__extension__,PPT Completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=dbd61629-b03e-4889-b9c9-550a4d9692be&t_id=427d5f97-7438-4c8c-8701-f5a9b96e2c71,dbd61629-b03e-4889-b9c9-550a4d9692be,427d5f97-7438-4c8c-8701-f5a9b96e2c71
Foundations of Computer Vision with CNNs,CNN Architectures Evolution,Inception & GoogLeNet Implementation,Hands-on: Build Inception module,Session,GoogLeNet Implementation,googlenet_Inception_v1  Implementation.ipynb,https://docs.google.com/presentation/d/e/2PACX-1vSNgXzfi8MeFVuOm4RyCzeO3J-j10cTrkSNZqy_SHp4FcaT-U1yUbLCNiJsmBVj8qknBvLFwC2ACIcg/pubembed?start=false&loop=false&delayms=3000,,https://media-content.ccbp.in/ccbp_prod/media/video_content/dsml/computer_vision/english/22-05-2026-inceptionandGoogLeNetImplementation-English-V1/video__extension__,PPT and Code file completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=2e496f18-8392-48c4-8f53-12a7942c7026&t_id=427d5f97-7438-4c8c-8701-f5a9b96e2c71,2e496f18-8392-48c4-8f53-12a7942c7026,427d5f97-7438-4c8c-8701-f5a9b96e2c71
Foundations of Computer Vision with CNNs,CNN Architectures Evolution,Inception & GoogLeNet,,Tutorial,Inception & GoogleNET Inception & GoogleNET Tutorial MCQ-Inception & GoogleNET.zip,,,,,Tutorial/Reading Material Completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=b85cfbb5-205e-4677-8670-a8a95b87bb52&t_id=427d5f97-7438-4c8c-8701-f5a9b96e2c71,b85cfbb5-205e-4677-8670-a8a95b87bb52,427d5f97-7438-4c8c-8701-f5a9b96e2c71
Foundations of Computer Vision with CNNs,CNN Architectures Evolution,Inception & GoogLeNet,,MCQ Practice,GoogleNET MCQs_Practice-17 (GoogleNet).zip,,,,,MCQ completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=49a510bf-30e3-4f17-8875-42891ec981e9&t_id=427d5f97-7438-4c8c-8701-f5a9b96e2c71,49a510bf-30e3-4f17-8875-42891ec981e9,427d5f97-7438-4c8c-8701-f5a9b96e2c71
Foundations of Computer Vision with CNNs,CNN Architectures Evolution,Inception & GoogLeNet,Coding Assignment,Coding Assignment,Coding Assignment 4,,,,,Coding assignment completed,Yes,Done,,,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=658ef800-bb9a-4848-8a88-c0e4b3ebe944&t_id=427d5f97-7438-4c8c-8701-f5a9b96e2c71,658ef800-bb9a-4848-8a88-c0e4b3ebe944,427d5f97-7438-4c8c-8701-f5a9b96e2c71
Foundations of Computer Vision with CNNs,CNN Architectures Evolution,Grand Assignment | CNN Architectures Evolution,,Exam,,,,,,,Yes,Done,,,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=0b50df97-7ca3-4f84-9720-f87ca5beea15&t_id=427d5f97-7438-4c8c-8701-f5a9b96e2c71,0b50df97-7ca3-4f84-9720-f87ca5beea15,427d5f97-7438-4c8c-8701-f5a9b96e2c72
Foundations of Computer Vision with CNNs,Capstone Project : Medical Image Classification,Problem Statement and Data Exploration,"Project: Image classifier for real-world use case
Hands-on: End-to-end classification pipeline",Session,Capstone Project : Medical Image Classification,"CV_Project.ipynb
Capstone: Medical Image Classification",https://docs.google.com/presentation/d/e/2PACX-1vSNgXzfi8MeFVuOm4RyCzeO3J-j10cTrkSNZqy_SHp4FcaT-U1yUbLCNiJsmBVj8qknBvLFwC2ACIcg/pubembed?start=false&loop=false&delayms=3000,,https://media-content.ccbp.in/ccbp_prod/media/video_content/dsml/computer_vision/english/22-05-2026-cPMedicalImageClassificationProblemStatementandDataExploration-English-V1/video__extension__,PPT Completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=7948a50b-4b1f-41e2-a580-01307e752622&t_id=72988c2b-cfac-454d-b707-b781ab3c6450,7948a50b-4b1f-41e2-a580-01307e752622,72988c2b-cfac-454d-b707-b781ab3c6450
Foundations of Computer Vision with CNNs,Capstone Project : Medical Image Classification,Problem Statement and Data Exploration,,Tutorial,Capstone Project: Medical Image Classification Capstone Project: Medical Image Classification Capstone Project Medical Image Classification.zip,,,,,Tutorial/Reading Material Completed,Yes,Done,Done,Content Changes,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=b9d95252-b7aa-4a29-9aee-a60d0aa8ed13&t_id=72988c2b-cfac-454d-b707-b781ab3c6450,b9d95252-b7aa-4a29-9aee-a60d0aa8ed13,72988c2b-cfac-454d-b707-b781ab3c6450
Foundations of Computer Vision with CNNs,Capstone Project : Medical Image Classification,Data Loading and Preprocessing,Dataset link: https://s3.ap-south-1.amazonaws.com/new-assets.ccbp.in/frontend/content/aiml/CV/Image_Dataset.zip,Session,CP: Data Loading and Preprocessing,1. Data Loading and Preprocessing.ipynb,https://docs.google.com/presentation/d/e/2PACX-1vRAWwbHgmZWYfJK0n29zYOYwD9GkLER9acIR-BtmGyLNiGlXruqUAZo4WSGFOZTCnJOMZiB9hituPJU/pubembed?start=false&loop=false&delayms=3000,,https://media-content.ccbp.in/ccbp_prod/media/video_content/dsml/computer_vision/english/22-05-2026-cPDataLoadingAndPreprocessing-English-V1/video__extension__,PPT and Code file completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=fff014aa-ee0d-4ec8-ad6a-8a5cd4bbc315&t_id=72988c2b-cfac-454d-b707-b781ab3c6450,fff014aa-ee0d-4ec8-ad6a-8a5cd4bbc315,72988c2b-cfac-454d-b707-b781ab3c6450
Foundations of Computer Vision with CNNs,Capstone Project : Medical Image Classification,Data Loading and Preprocessing,,Tutorial,CP: Data Loading and Preprocessing CP: Data Loading and Preprocessing CP - Data Loading and Preprocessing.zip,,,,,Tutorial/Reading Material Completed,Yes,Done,Done,Content Changes,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=57efcc67-d7c0-4754-a8c1-6f141a67a55a&t_id=72988c2b-cfac-454d-b707-b781ab3c6450,57efcc67-d7c0-4754-a8c1-6f141a67a55a,72988c2b-cfac-454d-b707-b781ab3c6450
Foundations of Computer Vision with CNNs,Capstone Project : Medical Image Classification,Model Architecture and Training Setup,,Session,CP: Model Architecture & Training Setup,2. Model Architecture and Training Setup.ipynb,https://docs.google.com/presentation/d/e/2PACX-1vQYQOvhILW0v5690OZAmxQRKDXvBew1V1ORDfcDbme2SjKqA75Z_MZKRdCh874OFajpA4rFbaPSGy5t/pubembed?start=false&loop=false&delayms=3000,,https://media-content.ccbp.in/ccbp_prod/media/video_content/dsml/computer_vision/english/22-05-2026-cPModelArchitectureAndTrainingSetup-English-V1/video__extension__,PPT and Code file completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=c615e078-bc1a-409f-aeae-ae4000fa256d&t_id=72988c2b-cfac-454d-b707-b781ab3c6450,c615e078-bc1a-409f-aeae-ae4000fa256d,72988c2b-cfac-454d-b707-b781ab3c6450
Foundations of Computer Vision with CNNs,Capstone Project : Medical Image Classification,Model Architecture and Training Setup,,Tutorial,CP: Model Architecture & Training Setup CP: Model Architecture and Training Setup CP - Model Architecture & Training Setup.zip,,,,,Tutorial/Reading Material Completed,Yes,Done,Done,Content Changes,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=f309fe58-8e21-457f-9b60-d8cf2c86e032&t_id=72988c2b-cfac-454d-b707-b781ab3c6450,f309fe58-8e21-457f-9b60-d8cf2c86e032,72988c2b-cfac-454d-b707-b781ab3c6450
Foundations of Computer Vision with CNNs,Capstone Project : Medical Image Classification,CP: Model Training & Evaluation,,Session,CP: Model Training & Evaluation,3. CP Model Training and Evaluation.ipynb,https://docs.google.com/presentation/d/e/2PACX-1vT6VFtZVhvJtMUHRDhvJR5bENb0mef-84xjHEEtJKu5eLKPPPfTRUlblocjdBWthwgNxZDp1_aOa3MJ/pubembed?start=false&loop=false&delayms=3000,,https://media-content.ccbp.in/ccbp_prod/media/video_content/dsml/computer_vision/english/22-05-2026-cPModelTrainingAndEvaluation-English-V1/video__extension__,PPT and Code file completed,Yes,Done,Done,Done Proceed to Prod,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=6a30f0a0-18b2-4bef-a55d-e7e91c4680bc&t_id=72988c2b-cfac-454d-b707-b781ab3c6450,6a30f0a0-18b2-4bef-a55d-e7e91c4680bc,72988c2b-cfac-454d-b707-b781ab3c6450
Foundations of Computer Vision with CNNs,Capstone Project : Medical Image Classification,CP: Model Training & Evaluation,,Tutorial,CP: Model Training & Evaluation CP: Model Training & Evaluation CP - Model Training & Evaluation.zip,,,,,Tutorial/Reading Material Completed,Yes,Done,Done,Content Changes,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=52a9296c-8515-41ee-8e68-d84ea6fceeeb&t_id=72988c2b-cfac-454d-b707-b781ab3c6450,52a9296c-8515-41ee-8e68-d84ea6fceeeb,72988c2b-cfac-454d-b707-b781ab3c6450
Foundations of Computer Vision with CNNs,Capstone Project : Assignment,Plant Disease Classification using CNN,Coding Assignment,Coding Assignment,Capstone Coding Assignment,,,,,Coding assignment completed,Yes,Done,,,Done,https://learning.ccbp.in/course?c_id=9e1a0e9e-e3c3-4a66-9ee2-4ee38027795a&s_id=965bc3d2-7b07-4e9c-8857-067e5dde2786&t_id=72988c2b-cfac-454d-b707-b781ab3c6450,965bc3d2-7b07-4e9c-8857-067e5dde2786,72988c2b-cfac-454d-b707-b781ab3c6450
,,,,,,,,,,,,,,,,,,
AI Vision Systems: Detection & Segmentation,Transfer Learning & Fine-tuning,Transfer Learning Fundamentals,"What is transfer learning and why it works
Pre-trained models as feature extractors
ImageNet pre-training
When to use transfer learning vs train from scratch
Domain shift considerations
Available pre-trained models (Keras, PyTorch Hub, Hugging Face)",Session,,,,,,,,,,,,,,
AI Vision Systems: Detection & Segmentation,Transfer Learning & Fine-tuning,Transfer Learning Fundamentals Implementation,Hands-on: Using pre-trained ResNet for feature extraction,Session,,,,,,,,,,,,,,
AI Vision Systems: Detection & Segmentation,Transfer Learning & Fine-tuning,Transfer Learning Fundamentals,,Tutorial,,,,,,,,,,,,,,
AI Vision Systems: Detection & Segmentation,Transfer Learning & Fine-tuning,Transfer Learning Fundamentals,,MCQ Practice,,,,,,,,,,,,,,
AI Vision Systems: Detection & Segmentation,Transfer Learning & Fine-tuning,Fine-tuning Strategies,"Feature extraction vs fine-tuning
Freezing and unfreezing layers
Learning rate strategies for fine-tuning
Discriminative learning rates
Gradual unfreezing
Fine-tuning best practices",Session,,,,,,,,,,,,,,
AI Vision Systems: Detection & Segmentation,Transfer Learning & Fine-tuning,Fine-tuning Strategies Implementation,Hands-on: Fine-tune EfficientNet for custom dataset,Session,,,,,,,,,,,,,,
AI Vision Systems: Detection & Segmentation,Transfer Learning & Fine-tuning,Fine-tuning Strategies,,Tutorial,,,,,,,,,,,,,,
AI Vision Systems: Detection & Segmentation,Transfer Learning & Fine-tuning,Fine-tuning Strategies,,MCQ Practice,,,,,,,,,,,,,,
